text,label,customer_feedback,product_category
The instructions are unclear.,0,I couldn't understand how to assemble it. The instructions provided were vague and lacked proper diagrams.,Documentation
Wonderful experience from start to finish.,4,"Everything went smoothly, from Browse to checkout and delivery. Highly satisfied with the overall experience.",E-commerce
Pricing is too high for what it offers.,0,I feel the product is overpriced for the limited features it provides. Not good value for money.,Pricing
The design is sleek and modern.,4,Loved the aesthetic of the new device. It looks very premium and fits well with my setup.,Design
The feature set is limited.,2,"It does the basic tasks, but I expected more advanced functionalities from a product at this price point.",Software
Long waiting times on calls.,0,I was on hold for over 30 minutes trying to reach support. Unacceptable wait times.,Service
"The service was excellent, very happy with the quick response.",4,"The service was excellent, very happy with the quick response.",
Slow delivery and rude staff. Never again.,0,The delivery was incredibly slow and the staff was very rude.,
"It was okay, nothing special, just average.",2,"The product was okay, nothing special, just average.",
Absolutely terrible experience. I regret dealing with them.,0,I had an absolutely terrible experience with this company. I regret dealing with them.,
"Fantastic product, highly recommend it to everyone!",4,"This is a fantastic product, I highly recommend it to everyone.",
"Could be better, some issues with the app's login.",1,"The app could be better, I faced some issues with logging in.",
"Neutral feedback, nothing to complain about or praise.",2,"Just a neutral feedback, nothing to complain about or praise.",
Loved the new features! Very useful and intuitive.,4,"I loved the new features, they are very useful and intuitive.",
Very disappointed with the quality of the material.,0,I am very disappointed with the quality of the material used.,
"Good, but needs improvement in customer support.",3,"It's good, but there's definitely room for improvement in customer support.",
"Amazing performance, very pleased with the results.",4,"Amazing performance, very pleased with the results.",
"Product arrived broken, very disappointed.",0,"Product arrived broken, very disappointed.",
"Okay service, not too bad.",2,"Okay service, not too bad.",
"Amazing performance, very pleased with the results.",4,"Amazing performance, very pleased with the results.",
Very user-friendly and helpful tool.,4,Very user-friendly and helpful tool.,
"Product arrived broken, very disappointed.",0,"Product arrived broken, very disappointed.",
"Terrible experience, won't be using this again.",0,"Terrible experience, won't be using this again.",
"Product arrived broken, very disappointed.",0,"Product arrived broken, very disappointed.",
"Product arrived broken, very disappointed.",0,"Product arrived broken, very disappointed.",
"Okay service, not too bad.",2,"Okay service, not too bad.",
"Terrible experience, won't be using this again.",0,"Terrible experience, won't be using this again.",
"Nothing exceptional, just average.",2,"Nothing exceptional, just average.",
Very user-friendly and helpful tool.,4,Very user-friendly and helpful tool.,
"Nothing exceptional, just average.",2,"Nothing exceptional, just average.",
Takes too long to load.,0,Takes too long to load.,
"Okay service, not too bad.",2,"Okay service, not too bad.",
"Nothing exceptional, just average.",2,"Nothing exceptional, just average.",
"Clear instructions, easy to use.",4,"Clear instructions, easy to use.",
"Terrible experience, won't be using this again.",0,"Terrible experience, won't be using this again.",
Takes too long to load.,0,Takes too long to load.,
"Okay service, not too bad.",2,"Okay service, not too bad.",
"Nothing exceptional, just average.",2,"Nothing exceptional, just average.",
"Nothing exceptional, just average.",2,"Nothing exceptional, just average.",
"Amazing performance, very pleased with the results.",4,"Amazing performance, very pleased with the results.",
App design is poor and confusing.,1,App design is poor and confusing.,
Very user-friendly and helpful tool.,4,Very user-friendly and helpful tool.,
"Product arrived broken, very disappointed.",0,"Product arrived broken, very disappointed.",
Very user-friendly and helpful tool.,4,Very user-friendly and helpful tool.,
"Okay service, not too bad.",2,"Okay service, not too bad.",
"Nothing exceptional, just average.",2,"Nothing exceptional, just average.",
Very user-friendly and helpful tool.,4,Very user-friendly and helpful tool.,
"Okay service, not too bad.",2,"Okay service, not too bad.",
Good support but response was slow.,3,Good support but response was slow.,
Very user-friendly and helpful tool.,4,Very user-friendly and helpful tool.,
Good support but response was slow.,3,Good support but response was slow.,
Takes too long to load.,0,Takes too long to load.,
Takes too long to load.,0,Takes too long to load.,
Takes too long to load.,0,Takes too long to load.,
"Terrible experience, won't be using this again.",0,"Terrible experience, won't be using this again.",
Good support but response was slow.,3,Good support but response was slow.,
"Clear instructions, easy to use.",4,"Clear instructions, easy to use.",
Very user-friendly and helpful tool.,4,Very user-friendly and helpful tool.,
"Product arrived broken, very disappointed.",0,"Product arrived broken, very disappointed.",
Takes too long to load.,0,Takes too long to load.,
"Product arrived broken, very disappointed.",0,"Product arrived broken, very disappointed.",
"Terrible experience, won't be using this again.",0,"Terrible experience, won't be using this again.",
"Clear instructions, easy to use.",4,"Clear instructions, easy to use.",
"Amazing performance, very pleased with the results.",4,"Amazing performance, very pleased with the results.",
Takes too long to load.,0,Takes too long to load.,
Very user-friendly and helpful tool.,4,Very user-friendly and helpful tool.,
"Amazing performance, very pleased with the results.",4,"Amazing performance, very pleased with the results.",
Very user-friendly and helpful tool.,4,Very user-friendly and helpful tool.,
Takes too long to load.,0,Takes too long to load.,
Good support but response was slow.,3,Good support but response was slow.,
Very user-friendly and helpful tool.,4,Very user-friendly and helpful tool.,
"Clear instructions, easy to use.",4,"Clear instructions, easy to use.",
"Nothing exceptional, just average.",2,"Nothing exceptional, just average.",
App design is poor and confusing.,1,Application design is poor and confusing.,
"Clear instructions, easy to use.",4,"Clear instructions, easy to use.",
App design is poor and confusing.,1,App design is poor and confusing.,
"Product arrived broken, very disappointed.",0,"Product arrived broken, very disappointed.",
"Nothing exceptional, just average.",2,"Nothing exceptional, just average.",
Takes too long to load.,0,Takes too long to load.,
"Nothing exceptional, just average.",2,"Nothing exceptional, just average.",
Good support but response was slow.,3,Good support but response was slow.,
App design is poor and confusing.,1,Application design is poor and confusing.,
Very user-friendly and helpful tool.,4,Very user-friendly and helpful tool.,
"Nothing exceptional, just average.",2,"Nothing exceptional, just average.",
"Clear instructions, easy to use.",4,"Clear instructions, easy to use.",
Good support but response was slow.,3,Good support but response was slow.,
Good support but response was slow.,3,Good support but response was slow.,
Very user-friendly and helpful tool.,4,Very user-friendly and helpful tool.,
"Nothing exceptional, just average.",2,"Nothing exceptional, just average.",
Takes too long to load.,0,Takes too long to load.,
Takes too long to load.,0,Takes too long to load.,
"Amazing performance, very pleased with the results.",4,"Amazing performance, very pleased with the results.",
Very user-friendly and helpful tool.,4,Very user-friendly and helpful tool.,
"Product arrived broken, very disappointed.",0,"Product arrived broken, very disappointed.",
"Product arrived broken, very disappointed.",0,"Product arrived broken, very disappointed.",
"Product arrived broken, very disappointed.",0,"Product arrived broken, very disappointed.",
"Amazing performance, very pleased with the results.",4,"Amazing performance, very pleased with the results.",
"Okay service, not too bad.",2,"Okay service, not too bad.",
Takes too long to load.,0,Takes too long to load.,
"Okay service, not too bad.",2,"Okay service, not too bad.",
"Amazing performance, very pleased with the results.",4,"Amazing performance, very pleased with the results.",
"Clear instructions, easy to use.",4,"Clear instructions, easy to use.",
Takes too long to load.,0,Takes too long to load.,
"Amazing performance, very pleased with the results.",4,"Amazing performance, very pleased with the results.",
Very user-friendly and helpful tool.,4,Very user-friendly and helpful tool.,
"Clear instructions, easy to use.",4,"Clear instructions, easy to use.",
"Product arrived broken, very disappointed.",0,"Product arrived broken, very disappointed.",
"Nothing exceptional, just average.",2,"Nothing exceptional, just average.",
App design is poor and confusing.,1,Application design is poor and confusing.,
"Terrible experience, won't be using this again.",0,"Terrible experience, won't be using this again.",
App design is poor and confusing.,1,App design is poor and confusing.,
"Okay service, not too bad.",2,"Okay service, not too bad.",
Takes too long to load.,0,Takes too long to load.,
"Product arrived broken, very disappointed.",0,"Product arrived broken, very disappointed.",
"Terrible experience, won't be using this again.",0,"Terrible experience, won't be using this again.",
"Amazing performance, very pleased with the results.",4,"Amazing performance, very pleased with the results.",
"Terrible experience, won't be using this again.",0,"Terrible experience, won't be using this again.",
"Clear instructions, easy to use.",4,"Clear instructions, easy to use.",
Very user-friendly and helpful tool.,4,Very user-friendly and helpful tool.,
"Terrible experience, won't be using this again.",0,"Terrible experience, won't be using this again.",
"Terrible experience, won't be using this again.",0,"Terrible experience, won't be using this again.",
Good support but response was slow.,3,Good support but response was slow.,
"Okay service, not too bad.",2,"Okay service, not too bad.",
"Product arrived broken, very disappointed.",0,"Product arrived broken, very disappointed.",
"Okay service, not too bad.",2,"Okay service, not too bad.",
"Product arrived broken, very disappointed.",0,"Product arrived broken, very disappointed.",
Very user-friendly and helpful tool.,4,Very user-friendly and helpful tool.,
"Nothing exceptional, just average.",2,"Nothing exceptional, just average.",
"Nothing exceptional, just average.",2,"Nothing exceptional, just average.",
Very user-friendly and helpful tool.,4,Very user-friendly and helpful tool.,
"Clear instructions, easy to use.",4,"Clear instructions, easy to use.",
Takes too long to load.,0,Takes too long to load.,
Very user-friendly and helpful tool.,4,Very user-friendly and helpful tool.,
Good support but response was slow.,3,Good support but response was slow.,
"Okay service, not too bad.",2,"Okay service, not too bad.",
"Clear instructions, easy to use.",4,"Clear instructions, easy to use.",
"Product arrived broken, very disappointed.",0,"Product arrived broken, very disappointed.",
Very user-friendly and helpful tool.,4,Very user-friendly and helpful tool.,
App design is poor and confusing.,1,App design is poor and confusing.,
"Clear instructions, easy to use.",4,"Clear instructions, easy to use.",
Good support but response was slow.,3,Good support but response was slow.,
Good support but response was slow.,3,Good support but response was slow.,
"Terrible experience, won't be using this again.",0,"Terrible experience, won't be using this again.",
"Nothing exceptional, just average.",2,"Nothing exceptional, just average.",
"Clear instructions, easy to use.",4,"Clear instructions, easy to use.",
"Amazing performance, very pleased with the results.",4,"Amazing performance, very pleased with the results.",
"Clear instructions, easy to use.",4,"Clear instructions, easy to use.",
"Okay service, not too bad.",2,"Okay service, not too bad.",
"Amazing performance, very pleased with the results.",4,"Amazing performance, very pleased with the results.",
"Nothing exceptional, just average.",2,"Nothing exceptional, just average.",
"Nothing exceptional, just average.",2,"Nothing exceptional, just average.",
"Clear instructions, easy to use.",4,"Clear instructions, easy to use.",
Very user-friendly and helpful tool.,4,Very user-friendly and helpful tool.,
"Okay service, not too bad.",2,"Okay service, not too bad.",
"Nothing exceptional, just average.",2,"Nothing exceptional, just average.",
"Amazing performance, very pleased with the results.",4,"Amazing performance, very pleased with the results.",
Takes too long to load.,0,Takes too long to load.,
"Clear instructions, easy to use.",4,"Clear instructions, easy to use.",
"Terrible experience, won't be using this again.",0,"Terrible experience, won't be using this again.",
"Nothing exceptional, just average.",2,"Nothing exceptional, just average.",
"Product arrived broken, very disappointed.",0,"Product arrived broken, very disappointed.",
Very user-friendly and helpful tool.,4,Very user-friendly and helpful tool.,
Good support but response was slow.,3,Good support but response was slow.,
"Amazing performance, very pleased with the results.",4,"Amazing performance, very pleased with the results.",
"Terrible experience, won't be using this again.",0,"Terrible experience, won't be using this again.",
"Clear instructions, easy to use.",4,"Clear instructions, easy to use.",
Good support but response was slow.,3,Good support but response was slow.,
"Product arrived broken, very disappointed.",0,"Product arrived broken, very disappointed.",
Good support but response was slow.,3,Good support but response was slow.,
Good support but response was slow.,3,Good support but response was slow.,
"Okay service, not too bad.",2,"Okay service, not too bad.",
"Nothing exceptional, just average.",2,"Nothing exceptional, just average.",
"Amazing performance, very pleased with the results.",4,"Amazing performance, very pleased with the results.",
App design is poor and confusing.,1,Application design is poor and confusing.,
"Clear instructions, easy to use.",4,"Clear instructions, easy to use.",
Takes too long to load.,0,Takes too long to load.,
"Clear instructions, easy to use.",4,"Clear instructions, easy to use.",
App design is poor and confusing.,1,Application design is poor and confusing.,
"Nothing exceptional, just average.",2,"Nothing exceptional, just average.",
"Amazing performance, very pleased with the results.",4,"Amazing performance, very pleased with the results.",
"Terrible experience, won't be using this again.",0,"Terrible experience, won't be using this again.",
"Terrible experience, won't be using this again.",0,"Terrible experience, won't be using this again.",
"Nothing exceptional, just average.",2,"Nothing exceptional, just average.",
Very user-friendly and helpful tool.,4,Very user-friendly and helpful tool.,
"Okay service, not too bad.",2,"Okay service, not too bad.",
"Nothing exceptional, just average.",2,"Nothing exceptional, just average.",
"Terrible experience, won't be using this again.",0,"Terrible experience, won't be using this again.",
"Product arrived broken, very disappointed.",0,"Product arrived broken, very disappointed.",
"Amazing performance, very pleased with the results.",4,"Amazing performance, very pleased with the results.",
"Amazing performance, very pleased with the results.",4,"Amazing performance, very pleased with the results.",
"Nothing exceptional, just average.",2,"Nothing exceptional, just average.",
"Terrible experience, won't be using this again.",0,"Terrible experience, won't be using this again.",
"Product arrived broken, very disappointed.",0,"Product arrived broken, very disappointed.",
Very user-friendly and helpful tool.,4,Very user-friendly and helpful tool.,
"Product arrived broken, very disappointed.",0,"Product arrived broken, very disappointed.",
"Nothing exceptional, just average.",2,"Nothing exceptional, just average.",
Good support but response was slow.,3,Good support but response was slow.,
Takes too long to load.,0,Takes too long to load.,
Good support but response was slow.,3,Good support but response was slow.,
"Amazing performance, very pleased with the results.",4,"Amazing performance, very pleased with the results.",
"Okay service, not too bad.",2,"Okay service, not too bad.",
"Clear instructions, easy to use.",4,"Clear instructions, easy to use.",
"Amazing performance, very pleased with the results.",4,"Amazing performance, very pleased with the results.",
App design is poor and confusing.,1,Application design is poor and confusing.,
"Amazing performance, very pleased with the results.",4,"Amazing performance, very pleased with the results.",
"Product arrived broken, very disappointed.",0,"Product arrived broken, very disappointed.",
Takes too long to load.,0,Takes too long to load.,
Very user-friendly and helpful tool.,4,Very user-friendly and helpful tool.,
"Nothing exceptional, just average.",2,"Nothing exceptional, just average.",
Takes too long to load.,0,Takes too long to load.,
"Product arrived broken, very disappointed.",0,"Product arrived broken, very disappointed.",
"Nothing exceptional, just average.",2,"Nothing exceptional, just average.",
Good support but response was slow.,3,Good support but response was slow.,
Very user-friendly and helpful tool.,4,Very user-friendly and helpful tool.,
"Amazing performance, very pleased with the results.",4,"Amazing performance, very pleased with the results.",
App design is poor and confusing.,1,Application design is poor and confusing.,
Good support but response was slow.,3,Good support but response was slow.,
"Clear instructions, easy to use.",4,"Clear instructions, easy to use.",
"Okay service, not too bad.",2,"Okay service, not too bad.",
"Nothing exceptional, just average.",2,"Nothing exceptional, just average.",
"Nothing exceptional, just average.",2,"Nothing exceptional, just average.",
"Okay service, not too bad.",2,"Okay service, not too bad.",
Good support but response was slow.,3,Good support but response was slow.,
"Amazing performance, very pleased with the results.",4,"Amazing performance, very pleased with the results.",
"Product arrived broken, very disappointed.",0,"Product arrived broken, very disappointed.",
Good support but response was slow.,3,Good support but response was slow.,
"Amazing performance, very pleased with the results.",4,"Amazing performance, very pleased with the results.",
"Product arrived broken, very disappointed.",0,"Product arrived broken, very disappointed.",
"Nothing exceptional, just average.",2,"Nothing exceptional, just average.",
Very user-friendly and helpful tool.,4,Very user-friendly and helpful tool.,
"Terrible experience, won't be using this again.",0,"Terrible experience, won't be using this again.",
Takes too long to load.,0,Takes too long to load.,
Takes too long to load.,0,Takes too long to load.,
"Okay service, not too bad.",2,"Okay service, not too bad.",
Takes too long to load.,0,Takes too long to load.,
Good support but response was slow.,3,Good support but response was slow.,
"Okay service, not too bad.",2,"Okay service, not too bad.",
App design is poor and confusing.,1,App design is poor and confusing.,
"Okay service, not too bad.",2,"Okay service, not too bad.",
"Amazing performance, very pleased with the results.",4,"Amazing performance, very pleased with the results.",
"Clear instructions, easy to use.",4,"Clear instructions, easy to use.",
"Product arrived broken, very disappointed.",0,"Product arrived broken, very disappointed.",
Takes too long to load.,0,Takes too long to load.,
Good support but response was slow.,3,Good support but response was slow.,
"Clear instructions, easy to use.",4,"Clear instructions, easy to use.",
Takes too long to load.,0,Takes too long to load.,
"Nothing exceptional, just average.",2,"Nothing exceptional, just average.",
Very user-friendly and helpful tool.,4,Very user-friendly and helpful tool.,
App design is poor and confusing.,1,Application design is poor and confusing.,
"Clear instructions, easy to use.",4,"Clear instructions, easy to use.",
"Okay service, not too bad.",2,"Okay service, not too bad.",
Takes too long to load.,0,Takes too long to load.,
Takes too long to load.,0,Takes too long to load.,
"Nothing exceptional, just average.",2,"Nothing exceptional, just average.",
"Product arrived broken, very disappointed.",0,"Product arrived broken, very disappointed.",
"Clear instructions, easy to use.",4,"Clear instructions, easy to use.",
"Nothing exceptional, just average.",2,"Nothing exceptional, just average.",
Good support but response was slow.,3,Good support but response was slow.,
Good support but response was slow.,3,Good support but response was slow.,
"Okay service, not too bad.",2,"Okay service, not too bad.",
App design is poor and confusing.,1,App design is poor and confusing.,
"Nothing exceptional, just average.",2,"Nothing exceptional, just average.",
"Okay service, not too bad.",2,"Okay service, not too bad.",
"Product arrived broken, very disappointed.",0,"Product arrived broken, very disappointed.",
"Amazing performance, very pleased with the results.",4,"Amazing performance, very pleased with the results.",
Very user-friendly and helpful tool.,4,Very user-friendly and helpful tool.,
